season1,season2,season3,season4,season5,season6,season7,season8,season9,season10,season11,season12,season13,season14,season15,season16,season17,season18,season19,season20,season21,season22,season23,season24,season25,season26,season27,season28,season29,season30,season31,season32,season33,season34,season35,season36,season37,season38,season39,season40,season41,season42,season43,season44,season45
7.08,4.93,5.23,2.77,4.15,4.69,3.93,3.2,5.07,4.07,2.86,3.57,3,4.2,4.3,2.3,2.4,5.1,1,1.9,2.86,6.93,1.79,3.79,2.64,4.79,3.43,6.93,3.29,5.21,3.14,4.07,3.79,3.21,5,2.79,4.1,1.8,4,4.87,3,3.3,3.5,6.4,5.2
6.54,7,2.92,2.92,5.23,4.08,5.5,5,2.79,2.79,4.5,3,3.1,1.6,1.6,2.4,1.9,4.4,7.2,2.9,2.57,2.93,5.57,3,4.14,2.5,2.43,2.57,2.21,3.57,4,5,2.07,2.21,3.64,4.86,3.6,2,3.6,2.53,4.3,4.5,3.4,2.5,5.5
3.92,5,6.23,6.46,2.69,8,3.86,2.73,1.79,3.57,3.71,4.07,1,3.1,2.9,3.7,3.9,2.1,1.9,4.9,2.21,1,1.79,2.71,2.86,1.5,1.79,4.43,2.21,1.71,2.29,5.29,1.93,1,3.5,1.93,4.2,2.5,2.6,2.47,4.3,2.5,4.1,5.2,4.6
5.46,4.38,4.23,3.54,4.85,1.23,0.93,3.93,3.86,0.93,1.5,5,1.9,3.3,2.4,1.2,3,2.3,1.1,1.5,2.29,1.64,3.43,1.14,4.71,1.79,1.79,4.79,3.36,3.71,3.14,2.64,4,2.21,2.93,1.07,2.5,4.8,2.8,2.67,1,2.4,4.6,4.8,5.1
4.75,2.83,2.5,4.75,4.33,3.33,5.3,2.29,1.92,1.85,2.77,3.08,1.8,1.4,3.3,3,3.4,4.5,2.2,1.7,0.93,1.71,0.57,2.93,2.31,1.07,3.29,1.69,2.57,1.5,1.21,1.62,1.79,1.43,2.36,2.36,1.6,2.2,2.5,2.53,2.8,3.5,4.1,2.4,3.5
4.91,2.09,3.18,2.55,3.73,2.55,2.67,2.85,3.17,2.42,3.33,2.09,1.8,0.9,1.8,1.3,2.8,1.2,2.8,2.9,2.54,1.93,2.21,1.38,0.67,1,1.43,2.33,4.31,2.85,0.93,3.67,3.5,2.79,2.08,0.86,2.6,1.7,1.4,1.33,2.4,3.4,4.2,2.9,5.3
5.6,1.7,4,3.1,2.3,2.9,2.64,2.25,2,5.82,3.45,2.1,3.8,4.3,2.8,1.5,2.5,2.1,1.2,0.7,1.67,2.29,1.38,1.25,4.45,2.08,2.5,1.45,1.42,2.25,2.15,1.45,0.77,1.85,2.83,3.15,3.2,1.2,2.8,1.87,3.1,3.1,3.2,3.5,5.6
5.22,6.67,3.11,0.67,2.33,4.67,6.1,3,1.5,1.5,1.6,3.22,1.2,2.3,1.7,1.9,4.7,2.2,1.2,1,0.45,1.07,5.08,4.45,2.1,3.33,1.62,1.2,2,3,2.5,3.6,1.46,1.38,2.55,0.33,2.4,2.1,3,2.2,5.1,3.7,2.1,3.4,3.8
4.38,2.88,2.88,4.13,1.88,4.13,2,3.1,3.44,2.56,3,4,2.6,1.8,2.4,3.1,1.9,3.8,1.7,2.1,4.55,1.54,0.36,0.4,0.89,3.18,1.33,2.56,0.9,3.6,3.82,2.89,3.33,1.92,0.5,2.91,1.7,2.2,2.4,1.33,3.9,2,1.9,2.2,4.1
5,5,3.71,5.71,4.71,2,6.38,3.56,3.88,4.25,3.5,2,1.1,0.9,2.7,2.4,3.9,1.9,1.5,2.8,2.7,1.92,2.09,2.11,3.5,3.3,3.18,1.88,5.11,2.89,1.9,3.38,1.73,2.27,2.33,1.09,2.5,2.3,2.3,1.33,1.2,2.3,2.4,3.4,3.6
