,contestant_name,num_idols_possessed,social_score,strategy_score,challenge_wins_per_day_lasted,confessionals_per_epi
0,Ben,0,7,6,0.4444444444444444,3.5
1,Charlie,0,9,8,0.4444444444444444,4.25
2,Hunter,0,7,8,0.6666666666666666,1.5
3,Jem,0,7,8,0.4444444444444444,3.25
4,Kenzie,0,8,4,0.1111111111111111,7.0
5,Liz,0,4,4,0.6666666666666666,2.25
6,Maria,0,8,8,0.4444444444444444,2.25
7,Moriah,0,4,5,0.4444444444444444,2.5
8,Q,0,6,7,0.1111111111111111,5.25
9,Soda,0,5,6,0.6666666666666666,2.75
10,Tevin,0,9,7,0.6666666666666666,3.25
11,Tiff,1,8,7,0.1111111111111111,7.0
12,Tim,0,3,4,0.4444444444444444,1.5
13,Venus,0,1,4,0.6666666666666666,3.25
